date,city,temperature,humidity,rainfall,weather_condition
2021-01-01,Nugegoda,29.2,73,0.0,Sunny
2021-01-01,Maharagama,26.8,75,1.4,Drizzle
2021-01-01,Kandy,27.9,77,0.0,Sunny
2021-01-01,Kirulapane,27.6,71,0.0,Sunny
2021-01-01,Wattala,28.9,64,0.0,Sunny
2021-01-01,Colombo,29.7,66,0.0,Sunny
2021-01-01,Pelawatte,27.1,66,4.9,Drizzle
2021-01-01,Malabe,27.6,76,0.0,Sunny
2021-01-02,Nugegoda,27.7,74,7.5,Drizzle
2021-01-02,Maharagama,27.6,78,0.0,Sunny
2021-01-02,Kandy,24.6,83,0.0,Sunny
2021-01-02,Kirulapane,27.7,73,19.2,Rainy
2021-01-02,Wattala,29.7,67,0.0,Sunny
2021-01-02,Colombo,32.7,79,1.6,Drizzle
2021-01-02,Pelawatte,29.6,74,0.7,Drizzle
2021-01-02,Malabe,27.0,66,0.0,Sunny
2021-01-03,Nugegoda,27.8,79,2.6,Drizzle
2021-01-03,Maharagama,26.8,74,0.0,Sunny
2021-01-03,Kandy,24.5,77,0.0,Sunny
2021-01-03,Kirulapane,29.4,78,0.0,Sunny
2021-01-03,Wattala,27.2,72,0.0,Sunny
2021-01-03,Colombo,26.2,79,0.5,Drizzle
2021-01-03,Pelawatte,26.8,68,0.0,Sunny
2021-01-03,Malabe,29.8,75,5.1,Drizzle
2021-01-04,Nugegoda,29.0,70,11.4,Rainy
2021-01-04,Maharagama,30.7,75,0.0,Sunny
2021-01-04,Kandy,21.6,78,0.0,Sunny
2021-01-04,Kirulapane,26.4,79,5.7,Drizzle
2021-01-04,Wattala,28.2,75,0.0,Sunny
2021-01-04,Colombo,27.3,77,0.0,Sunny
2021-01-04,Pelawatte,27.3,71,0.0,Sunny
2021-01-04,Malabe,29.3,79,0.0,Sunny
2021-01-05,Nugegoda,27.7,76,0.0,Sunny
2021-01-05,Maharagama,30.6,74,0.0,Sunny
2021-01-05,Kandy,24.4,72,2.1,Drizzle
2021-01-05,Kirulapane,30.4,72,15.8,Rainy
2021-01-05,Wattala,28.5,72,0.0,Sunny
2021-01-05,Colombo,27.9,72,3.3,Drizzle
2021-01-05,Pelawatte,28.3,76,0.0,Sunny
2021-01-05,Malabe,27.1,81,28.5,Rainy
2021-01-06,Nugegoda,25.6,73,2.7,Drizzle
2021-01-06,Maharagama,28.7,71,0.0,Sunny
2021-01-06,Kandy,25.2,75,1.3,Drizzle
2021-01-06,Kirulapane,29.0,73,2.2,Drizzle
2021-01-06,Wattala,30.2,77,2.2,Drizzle
2021-01-06,Colombo,27.3,80,0.0,Sunny
2021-01-06,Pelawatte,29.4,84,0.0,Sunny
2021-01-06,Malabe,27.8,78,0.0,Sunny
2021-01-07,Nugegoda,28.6,71,0.0,Sunny
2021-01-07,Maharagama,28.5,72,0.0,Sunny
2021-01-07,Kandy,23.9,76,0.0,Sunny
2021-01-07,Kirulapane,29.4,73,1.2,Drizzle
2021-01-07,Wattala,27.3,72,0.0,Sunny
2021-01-07,Colombo,28.0,76,8.6,Drizzle
2021-01-07,Pelawatte,28.8,80,0.0,Sunny
2021-01-07,Malabe,28.0,72,0.0,Sunny
2021-01-08,Nugegoda,28.9,77,3.3,Drizzle
2021-01-08,Maharagama,30.4,69,18.2,Rainy
2021-01-08,Kandy,25.9,75,0.0,Sunny
2021-01-08,Kirulapane,28.8,78,0.1,Drizzle
2021-01-08,Wattala,28.9,70,0.0,Sunny
2021-01-08,Colombo,28.8,67,9.4,Drizzle
2021-01-08,Pelawatte,26.7,77,0.0,Sunny
2021-01-08,Malabe,27.4,68,0.0,Sunny
2021-01-09,Nugegoda,29.9,76,0.0,Sunny
2021-01-09,Maharagama,27.2,74,0.0,Sunny
2021-01-09,Kandy,24.2,69,28.9,Rainy
2021-01-09,Kirulapane,29.8,72,0.0,Sunny
2021-01-09,Wattala,28.5,81,6.9,Drizzle
2021-01-09,Colombo,26.4,73,0.0,Sunny
2021-01-09,Pelawatte,26.9,76,0.0,Sunny
2021-01-09,Malabe,28.3,77,27.2,Rainy
2021-01-10,Nugegoda,27.2,66,15.2,Rainy
2021-01-10,Maharagama,27.1,71,6.5,Drizzle
2021-01-10,Kandy,25.8,75,6.8,Drizzle
2021-01-10,Kirulapane,28.8,69,36.9,Storm
2021-01-10,Wattala,28.6,68,16.8,Rainy
2021-01-10,Colombo,29.8,79,0.0,Sunny
2021-01-10,Pelawatte,26.4,69,0.0,Sunny
2021-01-10,Malabe,29.0,75,19.6,Rainy
2021-01-11,Nugegoda,29.3,93,0.0,Cloudy
2021-01-11,Maharagama,30.5,78,0.0,Sunny
2021-01-11,Kandy,25.0,77,0.0,Sunny
2021-01-11,Kirulapane,28.7,69,0.3,Drizzle
2021-01-11,Wattala,32.0,64,0.0,Sunny
2021-01-11,Colombo,27.9,74,0.0,Sunny
2021-01-11,Pelawatte,27.8,79,1.1,Drizzle
2021-01-11,Malabe,30.8,74,1.9,Drizzle
2021-01-12,Nugegoda,27.4,75,0.0,Sunny
2021-01-12,Maharagama,32.1,83,8.1,Drizzle
2021-01-12,Kandy,22.5,74,12.7,Rainy
2021-01-12,Kirulapane,27.8,65,0.0,Sunny
2021-01-12,Wattala,29.3,78,0.0,Sunny
2021-01-12,Colombo,28.0,72,0.0,Sunny
2021-01-12,Pelawatte,31.1,76,0.0,Sunny
2021-01-12,Malabe,29.1,82,0.0,Sunny
2021-01-13,Nugegoda,26.2,71,0.0,Sunny
2021-01-13,Maharagama,28.1,83,0.0,Sunny
2021-01-13,Kandy,20.6,68,1.5,Drizzle
2021-01-13,Kirulapane,25.5,67,0.0,Sunny
2021-01-13,Wattala,27.8,74,0.0,Sunny
2021-01-13,Colombo,28.6,85,15.5,Rainy
2021-01-13,Pelawatte,27.0,76,0.6,Drizzle
2021-01-13,Malabe,28.2,74,7.1,Drizzle
2021-01-14,Nugegoda,28.7,77,3.9,Drizzle
2021-01-14,Maharagama,27.6,84,6.3,Drizzle
2021-01-14,Kandy,25.3,76,26.0,Rainy
2021-01-14,Kirulapane,27.8,75,0.0,Sunny
2021-01-14,Wattala,27.6,78,1.0,Drizzle
2021-01-14,Colombo,29.9,81,16.8,Rainy
2021-01-14,Pelawatte,29.7,77,2.7,Drizzle
2021-01-14,Malabe,29.3,70,0.0,Sunny
